time	group	action
1386323216021	k2	loadvideo
1386323209112	k2	videopaused
1386323222364	k2	videopaused
1386323224147	k2	videoplayed
1386323351595	k2	saveannotation toc
1386323351603	k2	videopaused
1386323361192	k2	saveannotation toc
1386323361196	k2	videoplayed
1386323376663	k2	saveannotation toc
1386323376669	k2	videopaused
1386323388001	k2	saveannotation toc
1386323388006	k2	videoplayed
1386323397995	k2	saveannotation toc
1386323398001	k2	videopaused
1386323402909	k2	videoplayed
1386323437865	k2	loadvideo
1386323475252	k2	loadvideo
1386323479075	k2	seek_start
1386323479138	k2	seek_end
1386323485853	k2	loadvideo
1386323498247	k2	loadvideo
1386323487152	k2	loadvideo
1386323504118	k2	loadvideo
1386323506730	k2	seek_start
1386323506816	k2	seek_end
1386323509761	k2	seek_start
1386323509848	k2	seek_end
1386323498423	k2	clicktocfromlist
1386323500445	k2	clicktocfromlist
1386323501768	k2	clicktocfromlist
1386323503724	k2	clicktocfromlist
1386323532356	k2	clicktocfromlist
1386323535051	k2	clicktocfromlist
1386323568144	k2	clicktagfromlist
1386323570508	k2	clicktagfromlist
1386323575075	k2	seek_start
1386323575298	k2	seek_end
1386323577613	k2	seek_start
1386323578141	k2	seek_end
1386323581955	k2	seek_start
1386323582809	k2	seek_end
1386323588595	k2	seek_start
1386323589523	k2	seek_end
1386323590732	k2	seek_start
1386323591003	k2	seek_end
1386323592251	k2	seek_start
1386323592390	k2	seek_end
1386323593692	k2	seek_start
1386323593854	k2	seek_end
1386323594942	k2	seek_start
1386323595103	k2	seek_end
1386323598066	k2	seek_start
1386323598222	k2	seek_end
1386323607403	k2	clicktocfromlist
1386323608749	k2	clicktocfromlist
1386323685299	k2	videopaused
1386323688227	k2	videoplayed
1386323703935	k2	seek_start
1386323705255	k2	seek_end
1386323723670	k2	seek_start
1386323724349	k2	seek_end
1386323730898	k2	videopaused
1386323734826	k2	videoplayed
1386323740291	k2	seek_start
1386323741664	k2	seek_end
1386323750730	k2	videopaused
1386323776713	k2	seek_start
1386323776946	k2	seek_end
1386323817181	k2	loadvideo
1386323848034	k2	saveannotation toc
1386323848041	k2	videoplayed
1386323851852	k2	seek_start
1386323852052	k2	seek_end
1386323853388	k2	seek_start
1386323853580	k2	seek_end
1386323982555	k2	videopaused
1386323983632	k2	seek_start
1386323984401	k2	seek_end
1386324009944	k2	videopaused
1386324011156	k2	videoplayed
1386324011545	k2	videopaused
1386324014810	k2	seek_start
1386324016990	k2	seek_end
1386324037768	k2	videopaused
1386324064781	k2	saveannotation toc
1386324064787	k2	videoplayed
1386324077797	k2	seek_start
1386324078318	k2	seek_end
1386324096452	k2	seek_start
1386324098259	k2	seek_end
1386324100515	k2	seek_start
1386324102559	k2	seek_end
1386324108728	k2	videopaused
1386324113083	k2	saveannotation toc
1386324113087	k2	videoplayed
1386324294807	k2	videopaused
1386324315715	k2	saveannotation tags
1386324315721	k2	videoplayed
1386324494273	k2	videopaused
1386324697670	k1	loadvideo
1386324828626	k1	videoplayed
1386324879034	k1	loadvideo
1386324917582	k1	loadvideo
1386324937926	k1	loadvideo
1386324937983	k1	loadvideo
1386324964756	k1	videoplayed
1386324988115	k2	loadvideo
1386325001890	k2	loadvideo
1386325008910	k2	seek_start
1386325009034	k2	seek_end
1386325028129	k2	seek_start
1386325028223	k2	seek_end
1386325030703	k2	seek_start
1386325031171	k2	seek_end
1386325054353	k1	loadvideo
1386325059233	k1	loadvideo
1386325140064	k1	loadvideo
1386325175322	k1	loadvideo
1386325238729	k1	loadvideo
1386325304219	k1	videoplayed
1386325355451	k1	loadvideo
1386325459272	k1	seek_start
1386325459337	k1	seek_end
1386325467940	k1	loadvideo
1386325502087	k1	loadvideo
1386325508332	k1	loadvideo
1386325524606	k1	seek_start
1386325524675	k1	seek_end
1386325528363	k1	seek_start
1386325528444	k1	seek_end
1386325534703	k1	seek_start
1386325534774	k1	seek_end
1386325541868	k1	seek_start
1386325541922	k1	seek_end
1386325854760	k2	loadvideo
1386326012353	k2	loadvideo
1386326024059	k2	loadvideo
1386326034903	k2	seek_start
1386326035638	k2	seek_end
1386326042755	k2	seek_start
1386326043375	k2	seek_end
1386326059057	k2	loadvideo
1386327117830	k2	videoplayed
1386327243965	k2	videopaused
1386327246153	k2	seek_start
1386327246309	k2	seek_end
1386327288958	k2	videopaused
1386327319660	k2	saveannotation toc
1386327319666	k2	videoplayed
1386327662704	k2	videopaused
1386327666538	k2	seek_start
1386327667101	k2	seek_end
1386327688147	k2	videopaused
1386327701165	k2	saveannotation toc
1386327701171	k2	videoplayed
1386327978230	k2	seek_start
1386327978379	k2	seek_end
1386327981675	k2	seek_start
1386327981893	k2	seek_end
1386327996012	k2	seek_start
1386327996235	k2	seek_end
1386328009229	k2	videopaused
1386328011893	k2	seek_start
1386328013555	k2	seek_end
1386328017973	k2	videopaused
1386328039487	k2	saveannotation tags
1386328039493	k2	videoplayed
1386328032824	k2	loadvideo
1386328041104	k2	seek_start
1386328041247	k2	seek_end
1386328042800	k2	seek_start
1386328043021	k2	seek_end
1386328045621	k2	seek_start
1386328045808	k2	seek_end
1386328079614	k2	videopaused
1386328080448	k2	videoplayed
1386328094889	k2	videopaused
1386328097897	k2	seek_start
1386328099320	k2	seek_end
1386328123631	k2	videopaused
1386328144530	k2	saveannotation tags
1386328144537	k2	videoplayed
1386328146382	k2	videopaused
1386328147612	k2	clicktagfromlist
1386328149495	k2	videopaused
1386328151590	k2	clicktagfromlist
1386328153203	k2	videopaused
1386328170976	k2	saveannotation tags
1386328170981	k2	videoplayed
1386328173875	k2	seek_start
1386328174032	k2	seek_end
1386328177916	k2	seek_start
1386328178047	k2	seek_end
1386328179999	k2	seek_start
1386328180186	k2	seek_end
1386328183298	k2	seek_start
1386328183482	k2	seek_end
1386328185275	k2	seek_start
1386328185444	k2	seek_end
1386328245962	k2	assessmentdisplaybegin
1386328245977	k2	assessmentdisplaybegin
1386328245985	k2	assessmentdisplaybegin
1386328333383	k2	seek_start
1386328333499	k2	seek_end
1386328336902	k2	seek_start
1386328337028	k2	seek_end
1386328338522	k2	seek_start
1386328338639	k2	seek_end
1386328367866	k2	seek_start
1386328367981	k2	seek_end
1386328369174	k2	seek_start
1386328369303	k2	seek_end
1386328370798	k2	seek_start
1386328370913	k2	seek_end
