time	group	action
1386322666892	layout_decisions2	seek_end
1386322667956	layout_decisions2	videopaused
1386322670307	layout_decisions2	videoplayed
1386322671371	layout_decisions2	seek_start
1386322671833	layout_decisions2	seek_end
1386322681758	layout_decisions2	videopaused
1386322702299	layout_decisions2	saveannotation toc
1386322702304	layout_decisions2	videoplayed
1386322713350	layout_decisions2	loadvideo
1386322708041	layout_decisions2	videopaused
1386322745278	layout_decisions2	videoplayed
1386322923547	layout_decisions2	assessmentdisplaybegin
1386322955216	layout_decisions2	videopaused
1386322957390	layout_decisions2	loadvideo
1386322981943	layout_decisions2	loadvideo
1386322975806	layout_decisions2	videoplayed
1386322997884	layout_decisions2	seek_start
1386322998405	layout_decisions2	seek_end
1386323001494	layout_decisions2	seek_start
1386323002002	layout_decisions2	seek_end
1386323006945	layout_decisions2	videopaused
1386323008943	layout_decisions2	clicktocfromlist
1386323012968	layout_decisions2	clicktocfromlist
1386323018453	layout_decisions2	videopaused
1386323024348	layout_decisions2	videopaused
1386323028203	layout_decisions2	seek_start
1386323028740	layout_decisions2	seek_end
1386323031498	layout_decisions2	seek_start
1386323032741	layout_decisions2	seek_end
1386323037349	layout_decisions2	videopaused
1386323051928	layout_decisions2	saveannotation toc
1386323051934	layout_decisions2	videoplayed
1386323080758	layout_decisions2	loadvideo
1386323124405	layout_decisions2	loadvideo
1386323137645	layout_decisions2	videoplayed
1386323192243	layout_decisions2	assessmentdisplaybegin
1386323192252	layout_decisions2	assessmentdisplaybegin
1386323185327	layout_decisions2	seek_start
1386323186267	layout_decisions2	seek_end
1386323199165	layout_decisions2	seek_start
1386323199269	layout_decisions2	seek_end
1386323200349	layout_decisions2	seek_start
1386323200468	layout_decisions2	seek_end
1386323202757	layout_decisions2	seek_start
1386323202860	layout_decisions2	seek_end
1386323203853	layout_decisions2	seek_start
1386323203964	layout_decisions2	seek_end
1386323206150	layout_decisions2	seek_start
1386323206245	layout_decisions2	seek_end
1386323209005	layout_decisions2	seek_start
1386323209102	layout_decisions2	seek_end
1386323210076	layout_decisions2	seek_start
1386323210172	layout_decisions2	seek_end
1386323216021	layout_decisions2	loadvideo
1386323209112	layout_decisions2	videopaused
1386323222364	layout_decisions2	videopaused
1386323224147	layout_decisions2	videoplayed
1386323351595	layout_decisions2	saveannotation toc
1386323351603	layout_decisions2	videopaused
