forward	backward	user
3006	61	hoffmann
3006	61	hoffmann
3015	61	hoffmann
3017	61	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3017	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3162	80	hoffmann
3183	80	hoffmann
3186	80	hoffmann
3213	80	hoffmann
3214	80	hoffmann
3264	80	hoffmann
3267	80	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	120	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3267	175	hoffmann
3323	175	hoffmann
3325	175	hoffmann
3325	190	hoffmann
3328	190	hoffmann
3328	192	hoffmann
3330	192	hoffmann
3344	192	hoffmann
3345	192	hoffmann
3369	192	hoffmann
3369	192	hoffmann
3399	192	hoffmann
3400	192	hoffmann
3479	192	hoffmann
3480	192	hoffmann
3563	192	hoffmann
3566	192	hoffmann
3588	192	hoffmann
3591	192	hoffmann
3605	192	hoffmann
3608	192	hoffmann
3635	192	hoffmann
3641	192	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3641	240	hoffmann
3682	240	hoffmann
3683	240	hoffmann
3729	240	hoffmann
3729	240	hoffmann
3729	240	hoffmann
3729	240	hoffmann
3729	240	hoffmann
3729	240	hoffmann
3729	240	hoffmann
3735	240	hoffmann
3771	240	hoffmann
3771	240	hoffmann
3897	240	hoffmann
3899	240	hoffmann
3899	265	hoffmann
3900	265	hoffmann
3900	307	hoffmann
3901	307	hoffmann
3901	344	hoffmann
3923	344	hoffmann
3924	344	hoffmann
3926	344	hoffmann
3926	344	hoffmann
3927	344	hoffmann
3927	348	hoffmann
3930	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3939	348	hoffmann
3968	348	hoffmann
3969	348	hoffmann
4032	348	hoffmann
4035	348	hoffmann
4035	372	hoffmann
4071	372	hoffmann
4071	389	hoffmann
4072	389	hoffmann
4072	423	hoffmann
4074	423	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4074	449	hoffmann
4088	449	hoffmann
4089	449	hoffmann
4109	449	hoffmann
4110	449	hoffmann
4147	449	hoffmann
4148	449	hoffmann
4193	449	hoffmann
4194	449	hoffmann
4204	449	hoffmann
4204	449	hoffmann
4204	449	hoffmann
4204	449	hoffmann
4236	449	hoffmann
4237	449	hoffmann
4304	449	hoffmann
4308	449	hoffmann
4321	449	hoffmann
4337	449	hoffmann
4337	524	hoffmann
4337	524	hoffmann
4337	524	hoffmann
4337	524	hoffmann
4337	524	hoffmann
4345	524	hoffmann
4346	524	hoffmann
4354	524	hoffmann
4355	524	hoffmann
4400	524	hoffmann
4401	524	hoffmann
4471	524	hoffmann
4476	524	hoffmann
4476	571	hoffmann
4476	571	hoffmann
4476	571	hoffmann
4476	571	hoffmann
4476	571	hoffmann
4496	571	hoffmann
4497	571	hoffmann
4541	571	hoffmann
4543	571	hoffmann
4593	571	hoffmann
4594	571	hoffmann
4677	571	hoffmann
4678	571	hoffmann
4770	571	hoffmann
4774	571	hoffmann
4774	630	hoffmann
4782	630	hoffmann
4791	630	hoffmann
4792	630	hoffmann
4824	630	hoffmann
4825	630	hoffmann
4866	630	hoffmann
4867	630	hoffmann
4883	630	hoffmann
4891	630	hoffmann
4891	676	hoffmann
4893	676	hoffmann
4893	720	hoffmann
4893	720	hoffmann
4893	720	hoffmann
4893	720	hoffmann
4893	720	hoffmann
4903	720	hoffmann
4904	720	hoffmann
4920	720	hoffmann
4921	720	hoffmann
4954	720	hoffmann
4955	720	hoffmann
4996	720	hoffmann
5001	720	hoffmann
5009	720	hoffmann
5010	720	hoffmann
5034	720	hoffmann
5034	720	hoffmann
5034	720	hoffmann
5035	720	hoffmann
5072	720	hoffmann
5074	720	hoffmann
5083	720	hoffmann
5085	720	hoffmann
5156	720	hoffmann
5157	720	hoffmann
5169	720	hoffmann
5170	720	hoffmann
5198	720	hoffmann
5199	720	hoffmann
5232	720	hoffmann
5233	720	hoffmann
5274	720	hoffmann
5288	720	hoffmann
5299	720	hoffmann
5300	720	hoffmann
5312	720	hoffmann
5313	720	hoffmann
5337	720	hoffmann
5350	720	hoffmann
5350	762	hoffmann
5354	762	hoffmann
5354	804	hoffmann
5356	804	hoffmann
5356	848	hoffmann
5359	848	hoffmann
5359	848	hoffmann
5359	848	hoffmann
5376	848	hoffmann
5377	848	hoffmann
5417	848	hoffmann
5420	848	hoffmann
5439	848	hoffmann
5440	848	hoffmann
5464	848	hoffmann
5465	848	hoffmann
5502	848	hoffmann
5502	848	hoffmann
5519	848	hoffmann
5520	848	hoffmann
5557	848	hoffmann
5566	848	hoffmann
5566	899	hoffmann
5568	899	hoffmann
5568	1061	hoffmann
5569	1061	hoffmann
5589	1061	hoffmann
5589	1061	hoffmann
5589	1061	hoffmann
5589	1061	hoffmann
5593	1061	hoffmann
5594	1061	hoffmann
5598	1061	hoffmann
5598	1061	hoffmann
5598	1061	hoffmann
5598	1082	hoffmann
5601	1082	hoffmann
5601	1112	hoffmann
5606	1112	hoffmann
5606	1112	hoffmann
5606	1112	hoffmann
5616	1112	hoffmann
5617	1112	hoffmann
5658	1112	hoffmann
5659	1112	hoffmann
5709	1112	hoffmann
5709	1112	hoffmann
5709	1112	hoffmann
5709	1112	hoffmann
5725	1112	hoffmann
5728	1112	hoffmann
5746	1112	hoffmann
5746	1112	hoffmann
5763	1112	hoffmann
5763	1112	hoffmann
5779	1112	hoffmann
5779	1112	hoffmann
5805	1112	hoffmann
5805	1112	hoffmann
5805	1112	hoffmann
5807	1112	hoffmann
5831	1112	hoffmann
5832	1112	hoffmann
5869	1112	hoffmann
5870	1112	hoffmann
5911	1112	hoffmann
5912	1112	hoffmann
5957	1112	hoffmann
5964	1112	hoffmann
5982	1112	hoffmann
5983	1112	hoffmann
6016	1112	hoffmann
6017	1112	hoffmann
6041	1112	hoffmann
6041	1112	hoffmann
6041	1112	hoffmann
6041	1112	hoffmann
6066	1112	hoffmann
6066	1112	hoffmann
6230	1112	hoffmann
6230	1112	hoffmann
6411	1112	hoffmann
6411	1112	hoffmann
6608	1112	hoffmann
6609	1112	hoffmann
6773	1112	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4050	hoffmann
6773	4053	hoffmann
6773	4053	hoffmann
6773	4053	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
6773	4056	hoffmann
0	0	kienle
0	0	kienle
0	0	kienle
0	0	kienle
0	0	kienle
0	0	kienle
0	0	palme
0	0	palme
0	0	palme
0	0	palme
0	0	palme
0	16	palme
0	16	palme
0	16	palme
0	16	palme
0	16	palme
0	16	palme
0	16	palme
0	16	palme
0	35	palme
68	35	palme
127	35	palme
129	35	palme
129	87	palme
380	87	palme
380	87	palme
380	87	palme
380	87	palme
380	87	palme
380	87	palme
380	87	palme
380	183	palme
499	183	palme
499	183	palme
499	183	palme
499	183	palme
499	183	palme
499	276	palme
501	276	palme
538	276	palme
538	276	palme
538	276	palme
538	276	palme
538	276	palme
538	276	palme
628	276	palme
630	276	palme
714	276	palme
907	276	palme
907	321	palme
1075	321	palme
1075	321	palme
1075	321	palme
1075	321	palme
1075	370	palme
1084	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	370	palme
1101	452	palme
1126	452	palme
1162	452	palme
1165	452	palme
1165	487	palme
1234	487	palme
1234	590	palme
1238	590	palme
1269	590	palme
1269	590	palme
1269	590	palme
1292	590	palme
1304	590	palme
1304	590	palme
1304	590	palme
1304	590	palme
1304	590	palme
1304	590	palme
1304	590	palme
1304	654	palme
1315	654	palme
1315	654	palme
1315	654	palme
1315	654	palme
1315	654	palme
1315	654	palme
1315	654	palme
1315	654	palme
1315	654	palme
1315	715	palme
1315	715	palme
1315	715	palme
1315	798	palme
1317	798	palme
1348	798	palme
1349	798	palme
1392	798	palme
1394	798	palme
1420	798	palme
1422	798	palme
1449	798	palme
1451	798	palme
1483	798	palme
1486	798	palme
1521	798	palme
1523	798	palme
1523	886	palme
1529	886	palme
1529	950	palme
1533	950	palme
1533	984	palme
1533	984	palme
1533	984	palme
1533	984	palme
1533	984	palme
1533	984	palme
1533	1018	palme
1543	1018	palme
1543	1072	palme
1602	1072	palme
1602	1120	palme
1771	1120	palme
1771	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1193	palme
1782	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2005	1260	palme
2050	1260	palme
2054	1260	palme
2054	1317	palme
2054	1317	palme
2054	1317	palme
2054	1393	palme
2056	1393	palme
2092	1393	palme
2092	1393	palme
2092	1393	palme
2092	1445	palme
2092	1445	palme
2092	1445	palme
2092	1445	palme
2092	1445	palme
2092	1445	palme
2092	1445	palme
2159	1445	palme
2160	1445	palme
2160	1586	palme
2160	3472	palme
2160	3472	palme
2160	3472	palme
2160	3472	palme
2160	3472	palme
2160	3472	palme
2160	3472	palme
2191	3472	palme
2197	3472	palme
2197	3502	palme
2197	3502	palme
2197	3502	palme
2197	3502	palme
