score	row	col	user
1049	1	291	xxx
1048	1	292	xxx
1048	1	293	xxx
1051	1	294	xxx
1045	1	295	xxx
1042	1	296	xxx
1045	1	297	xxx
1043	1	298	xxx
1041	1	299	xxx
1046	1	300	xxx
1041	1	301	xxx
1043	1	302	xxx
1041	1	303	xxx
1041	1	304	xxx
1050	1	305	xxx
1049	1	306	xxx
1045	1	307	xxx
1042	1	308	xxx
1043	1	309	xxx
1047	1	310	xxx
1036	1	311	xxx
1037	1	312	xxx
1039	1	313	xxx
1037	1	314	xxx
1038	1	315	xxx
1037	1	316	xxx
1038	1	317	xxx
1037	1	318	xxx
1035	1	319	xxx
1035	1	320	xxx
1033	1	321	xxx
1034	1	322	xxx
1037	1	323	xxx
1032	1	324	xxx
1032	1	325	xxx
1032	1	326	xxx
1033	1	327	xxx
1033	1	328	xxx
1033	1	329	xxx
1035	1	330	xxx
1034	1	331	xxx
1032	1	332	xxx
1030	1	333	xxx
1030	1	334	xxx
1035	1	335	xxx
1031	1	336	xxx
1030	1	337	xxx
1029	1	338	xxx
1033	1	339	xxx
1031	1	340	xxx
1030	1	341	xxx
1028	1	342	xxx
1032	1	343	xxx
1028	1	344	xxx
1034	1	345	xxx
1034	1	346	xxx
1030	1	347	xxx
1028	1	348	xxx
1030	1	349	xxx
1028	1	350	xxx
1028	1	351	xxx
1028	1	352	xxx
1029	1	353	xxx
1028	1	354	xxx
1026	1	355	xxx
1027	1	356	xxx
1026	1	357	xxx
1024	1	358	xxx
1024	1	359	xxx
1024	1	360	xxx
1025	1	361	xxx
1023	1	362	xxx
1025	1	363	xxx
1025	1	364	xxx
1023	1	365	xxx
1023	1	366	xxx
1028	1	367	xxx
1022	1	368	xxx
1025	1	369	xxx
1023	1	370	xxx
1023	1	371	xxx
1023	1	372	xxx
1022	1	373	xxx
1020	1	374	xxx
1020	1	375	xxx
1020	1	376	xxx
1025	1	377	xxx
1025	1	378	xxx
1020	1	379	xxx
1018	1	380	xxx
1018	1	381	xxx
1020	1	382	xxx
1018	1	383	xxx
1018	1	384	xxx
1019	1	385	xxx
1018	1	386	xxx
1020	1	387	xxx
1021	1	388	xxx
1017	1	389	xxx
1017	1	390	xxx
1017	1	391	xxx
1017	1	392	xxx
1017	1	393	xxx
1017	1	394	xxx
1019	1	395	xxx
1017	1	396	xxx
1022	1	397	xxx
1018	1	398	xxx
1019	1	399	xxx
1018	1	400	xxx
1020	1	401	xxx
1020	1	402	xxx
1021	1	403	xxx
1017	1	404	xxx
1016	1	405	xxx
1014	1	406	xxx
1014	1	407	xxx
1014	1	408	xxx
1014	1	409	xxx
1014	1	410	xxx
1016	1	411	xxx
1014	1	412	xxx
1016	1	413	xxx
1014	1	414	xxx
1016	1	415	xxx
1016	1	416	xxx
1016	1	417	xxx
1014	1	418	xxx
1014	1	419	xxx
1014	1	420	xxx
1014	1	421	xxx
1014	1	422	xxx
1014	1	423	xxx
1019	1	424	xxx
1014	1	425	xxx
1014	1	426	xxx
1014	1	427	xxx
1014	1	428	xxx
1016	1	429	xxx
1018	1	430	xxx
1020	1	431	xxx
1017	1	432	xxx
1017	1	433	xxx
1015	1	434	xxx
1015	1	435	xxx
1017	1	436	xxx
1017	1	437	xxx
1025	1	438	xxx
1018	1	439	xxx
1019	1	440	xxx
1017	1	441	xxx
1016	1	442	xxx
1014	1	443	xxx
1019	1	444	xxx
1019	1	445	xxx
1014	1	446	xxx
1014	1	447	xxx
1016	1	448	xxx
1014	1	449	xxx
1016	1	450	xxx
1016	1	451	xxx
1016	1	452	xxx
1014	1	453	xxx
1014	1	454	xxx
1016	1	455	xxx
1021	1	456	xxx
1015	1	457	xxx
1015	1	458	xxx
1016	1	459	xxx
1017	1	460	xxx
1015	1	461	xxx
1014	1	462	xxx
1013	1	463	xxx
1018	1	464	xxx
1015	1	465	xxx
1013	1	466	xxx
1013	1	467	xxx
1018	1	468	xxx
1012	1	469	xxx
1013	1	470	xxx
1012	1	471	xxx
1021	1	472	xxx
1013	1	473	xxx
1015	1	474	xxx
1013	1	475	xxx
1022	1	476	xxx
1016	1	477	xxx
1014	1	478	xxx
1012	1	479	xxx
