from_cat	to_cat	degree
4	1	164
16	1	315
17	1	315
6	1	233
5	1	273
7	1	18
18	1	36
4	2	101
8	2	37
5	2	323
6	2	356
13	2	11
16	2	403
17	2	403
19	2	16
15	2	6
7	2	6
18	2	6
4	3	334
6	3	730
5	3	789
16	3	3488
17	3	3488
18	3	104
19	3	116
8	3	2688
15	3	115
9	3	33
11	3	10
4	4	85
16	4	394
17	4	394
5	4	123
12	4	23
18	4	33
1	4	48
6	4	135
8	4	9
9	4	2
