time	group	action
1386323532356	302	clicktocfromlist
1386323535051	302	clicktocfromlist
1386323568144	302	clicktagfromlist
1386323570508	302	clicktagfromlist
1386323575075	302	seek
1386323575298	302	seek
1386323577613	302	seek
1386323578141	302	seek
1386323581955	302	seek
1386323582809	302	seek
1386323588595	302	seek
1386323589523	302	seek
1386323590732	302	seek
1386323591003	302	seek
1386323592251	302	seek
1386323592390	302	seek
1386323593692	302	seek
1386323593854	302	seek
1386323594942	302	seek
1386323595103	302	seek
1386323598066	302	seek
1386323598222	302	seek
1386323607403	302	clicktocfromlist
1386323608749	302	clicktocfromlist
1386323685299	302	videopaused
1386323688227	302	videoplayed
1386323703935	302	seek
1386323705255	302	seek
1386323723670	302	seek
1386323724349	302	seek
1386323730898	302	videopaused
1386323734826	302	videoplayed
1386323740291	302	seek
1386323741664	302	seek
1386323750730	302	videopaused
1386323776713	302	seek
1386323776946	302	seek
1386323817181	302	loadvideo
1386323848034	302	saveannotation
1386323848041	302	videoplayed
1386323851852	302	seek
1386323852052	302	seek
1386323853388	302	seek
1386323853580	302	seek
1386323982555	302	videopaused
1386323983632	302	seek
1386323984401	302	seek
1386324009944	302	videopaused
1386324011156	302	videoplayed
1386324011545	302	videopaused
1386324014810	302	seek
1386324016990	302	seek
1386324037768	302	videopaused
1386324064781	302	saveannotation
1386324064787	302	videoplayed
1386324077797	302	seek
1386324078318	302	seek
1386324096452	302	seek
1386324098259	302	seek
1386324100515	302	seek
1386324102559	302	seek
1386324108728	302	videopaused
1386324113083	302	saveannotation
1386324113087	302	videoplayed
1386324294807	302	videopaused
1386324315715	302	saveannotation
1386324315721	302	videoplayed
1386324494273	302	videopaused
1386324697670	202	loadvideo
1386324828626	202	videoplayed
1386324879034	202	loadvideo
1386324917582	209	loadvideo
1386324937926	204	loadvideo
1386324937983	204	loadvideo
1386324964756	204	videoplayed
1386324988115	302	loadvideo
1386325001890	302	loadvideo
1386325008910	302	seek
1386325009034	302	seek
1386325028129	302	seek
1386325028223	302	seek
1386325030703	302	seek
1386325031171	302	seek
1386325054353	202	loadvideo
1386325059233	212	loadvideo
1386325140064	206	loadvideo
1386325175322	204	loadvideo
1386325238729	212	loadvideo
1386325304219	212	videoplayed
1386325355451	201	loadvideo
1386325459272	201	seek
1386325459337	201	seek
1386325467940	204	loadvideo
1386325502087	212	loadvideo
1386325508332	202	loadvideo
1386325524606	202	seek
1386325524675	202	seek
1386325528363	202	seek
1386325528444	202	seek
1386325534703	202	seek
1386325534774	202	seek
1386325541868	202	seek
1386325541922	202	seek
1386325854760	302	loadvideo
1386326012353	302	loadvideo
1386326024059	301	loadvideo
1386326034903	301	seek
1386326035638	301	seek
1386326042755	301	seek
1386326043375	301	seek
1386326059057	305	loadvideo
1386327117830	302	videoplayed
1386327243965	302	videopaused
1386327246153	302	seek
1386327246309	302	seek
1386327288958	302	videopaused
1386327319660	302	saveannotation
1386327319666	302	videoplayed
1386327662704	302	videopaused
1386327666538	302	seek
1386327667101	302	seek
1386327688147	302	videopaused
1386327701165	302	saveannotation
1386327701171	302	videoplayed
1386327978230	302	seek
1386327978379	302	seek
1386327981675	302	seek
1386327981893	302	seek
1386327996012	302	seek
1386327996235	302	seek
1386328009229	302	videopaused
1386328011893	302	seek
1386328013555	302	seek
1386328017973	302	videopaused
1386328039487	302	saveannotation
1386328039493	302	videoplayed
1386328032824	302	loadvideo
1386328041104	302	seek
1386328041247	302	seek
1386328042800	302	seek
1386328043021	302	seek
1386328045621	302	seek
1386328045808	302	seek
1386328079614	302	videopaused
1386328080448	302	videoplayed
1386328094889	302	videopaused
1386328097897	302	seek
1386328099320	302	seek
1386328123631	302	videopaused
1386328144530	302	saveannotation
1386328144537	302	videoplayed
1386328146382	302	videopaused
1386328147612	302	clicktagfromlist
1386328149495	302	videopaused
1386328151590	302	clicktagfromlist
1386328153203	302	videopaused
1386328170976	302	saveannotation
1386328170981	302	videoplayed
1386328173875	302	seek
1386328174032	302	seek
1386328177916	302	seek
1386328178047	302	seek
1386328179999	302	seek
1386328180186	302	seek
1386328183298	302	seek
1386328183482	302	seek
1386328185275	302	seek
1386328185444	302	seek
1386328245962	302	assessmentdisplaybegin
1386328245977	302	assessmentdisplaybegin
1386328245985	302	assessmentdisplaybegin
1386328333383	302	seek
1386328333499	302	seek
1386328336902	302	seek
1386328337028	302	seek
1386328338522	302	seek
1386328338639	302	seek
1386328367866	302	seek
1386328367981	302	seek
1386328369174	302	seek
1386328369303	302	seek
1386328370798	302	seek
1386328370913	302	seek
1386328373095	302	seek
1386328373204	302	seek
1386328374822	302	seek
1386328374942	302	seek
1386328376752	302	seek
1386328377331	302	seek
1386328418658	302	saveannotation
1386328418664	302	videoplayed
1386328660639	302	seek
1386328662559	302	seek
1386328669583	302	seek
1386328669766	302	seek
1386328673912	302	seek
1386328674054	302	seek
1386328675277	302	seek
1386328675471	302	seek
1386328700114	302	videopaused
1386328712106	302	saveannotation
1386328712111	302	videoplayed
1386328754598	302	saveannotation
1386328754603	302	videopaused
1386328756497	302	clicktocfromlist
1386328760510	302	seek
1386328760594	302	seek
1386328763894	302	clicktocfromlist
1386328766513	302	clicktocfromlist
1386328769038	302	seek
1386328769156	302	seek
1386328779875	302	videopaused
1386328796330	302	saveannotation
1386328796335	302	videoplayed
1386328939019	302	seek
1386328939138	302	seek
1386328948655	302	seek
1386328948775	302	seek
1386328952201	302	seek
1386328952336	302	seek
1386328969798	302	seek
1386328970596	302	seek
1386328979751	302	videopaused
1386328983461	302	videoplayed
1386329014518	302	saveannotation
1386329014524	302	videoplayed
1386329026239	302	seek
1386329026466	302	seek
1386329109415	302	seek
1386329109523	302	seek
1386329118840	302	seek
1386329118987	302	seek
1386329148750	302	saveannotation
1386329148756	302	videoplayed
1386329155985	302	clicktocfromlist
1386329163397	302	seek
1386329163520	302	seek
1386329189070	302	saveannotation
1386329189076	302	videoplayed
1386329252732	302	saveannotation
1386329252737	302	videopaused
1386329256018	302	videoplayed
1386329260697	302	seek
1386329260857	302	seek
1386329262472	302	seek
1386329262591	302	seek
1386329264278	302	seek
1386329264563	302	seek
1386329267497	302	seek
1386329267542	302	seek
1386329269871	302	seek
1386329269953	302	seek
1386329276722	302	seek
1386329276863	302	seek
1386329283928	302	seek
1386329284046	302	seek
1386329286892	302	seek
1386329287013	302	seek
1386329289747	302	seek
1386329289863	302	seek
1386329292913	302	seek
1386329292995	302	seek
1386329295336	302	seek
1386329295447	302	seek
1386329297730	302	seek
1386329297858	302	seek
1386329353968	302	videoended
1386329353975	302	videoended
1386332946187	202	loadvideo
1386333050247	202	loadvideo
1386334143407	302	loadvideo
1386334148201	302	videopaused
1386334163547	302	clickassessmentfromlist
1386334164067	302	assessmentdisplaybegin
1386334164909	302	clickassessmentfromlist
1386334165092	302	clickassessmentfromlist
1386334166381	302	clickassessmentfromlist
1386334166592	302	clickassessmentfromlist
1386334199667	302	clickassessmentfromlist
1386334199883	302	clickassessmentfromlist
1386334200100	302	clickassessmentfromlist
1386334200215	302	assessmentdisplaybegin
1386334204265	302	clickassessmentfromlist
1386334206674	302	clickassessmentfromlist
1386334206842	302	assessmentdisplaybegin
1386334213016	302	clickassessmentfromlist
1386334213536	302	clickassessmentfromlist
1386334213779	302	clickassessmentfromlist
1386334214015	302	clickassessmentfromlist
1386334214634	302	clickassessmentfromlist
1386334214876	302	clickassessmentfromlist
1386334215124	302	clickassessmentfromlist
1386334219573	302	videopaused
1386335002843	302	clickassessmentfromlist
1386335003357	302	assessmentdisplaybegin
1386336416880	9	loadvideo
1386336448220	3	loadvideo
1386336486620	301	loadvideo
1386336889472	301	loadvideo
1386336909836	301	saveannotation
1386336909846	301	videoplayed
1386336910358	301	assessmentdisplaybegin
1386337048110	301	saveannotation
1386337048114	301	videoplayed
1386337054057	301	clickassessmentfromlist
1386337054182	301	assessmentdisplaybegin
1386337054293	301	clickassessmentfromlist
1386337064720	301	videopaused
1386340573933	3	loadvideo
1386340604538	3	seek
1386340604631	3	seek
1386340663272	3	seek
1386340663334	3	seek
1386341338095	301	loadvideo
1386341358859	301	videopaused
1386341375333	201	loadvideo
1386341408122	209	loadvideo
1386341438823	209	videopaused
1386341503886	209	videoplayed
